"old_url","new_path","type"
"https://www.paulcee.co.uk/blog/?minelab-equinox-settings-for-cleethorpes-beach","/blog/minelab-equinox-settings-for-cleethorpes-beach/","post"
"https://www.paulcee.co.uk/blog/?equinox-update","/blog/equinox-update/","post"
"https://www.paulcee.co.uk/blog/?find-more-gold","/blog/find-more-gold/","post"
"https://www.paulcee.co.uk/blog/?gold-found-beach-metal-detecting","/blog/gold-found-beach-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?equinox-15-inch-coil","/blog/equinox-15-inch-coil/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-6-inch-coil","/blog/minelab-equinox-6-inch-coil/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-6-inch-coil-1","/blog/minelab-equinox-6-inch-coil-1/","post"
"https://www.paulcee.co.uk/blog/?ctx-3030-beach-metal-detecting-gold","/blog/ctx-3030-beach-metal-detecting-gold/","post"
"https://www.paulcee.co.uk/blog/?ctx-3030-finds-gold","/blog/ctx-3030-finds-gold/","post"
"https://www.paulcee.co.uk/blog/?equinox-gold","/blog/equinox-gold/","post"
"https://www.paulcee.co.uk/blog/?best-equinox-headphones","/blog/best-equinox-headphones/","post"
"https://www.paulcee.co.uk/blog/?equinox-wm08-waterproofing","/blog/equinox-wm08-waterproofing/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-beach-detecting","/blog/minelab-equinox-beach-detecting/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-review","/blog/minelab-equinox-review/","post"
"https://www.paulcee.co.uk/blog/?ctx-3030-silver-coin","/blog/ctx-3030-silver-coin/","post"
"https://www.paulcee.co.uk/blog/?minelab-ctx-3030-ring-on-the-beach","/blog/minelab-ctx-3030-ring-on-the-beach/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-washouts-and-cuts","/blog/metal-detecting-washouts-and-cuts/","post"
"https://www.paulcee.co.uk/blog/?storm-beach-metal-detecting","/blog/storm-beach-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?rockpool-metal-detecting-treasure","/blog/rockpool-metal-detecting-treasure/","post"
"https://www.paulcee.co.uk/blog/?find-gold-with-a-metal-detector","/blog/find-gold-with-a-metal-detector/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-cuts-on-the-beach","/blog/metal-detecting-cuts-on-the-beach/","post"
"https://www.paulcee.co.uk/blog/?can-you-find-treasure-on-the-beach","/blog/can-you-find-treasure-on-the-beach/","post"
